Building Names,Address,Latitude,Longitude,Building Number,Description
AI Green Theatre,"750 Spadina Avenue, Toronto, ON",43.665769,-79.398087,,"A venue for events, lectures, and performances, equipped with modern audio-visual facilities."
Chelsea Student Residence,"33 Gerrad St.West, Toronto, ON",43.65847,-79.385309,,Student housing facility providing accommodations for residents within the campus.
Health and Wellness Centre,"700 Bay Street, Toronto, ON",43.659713,-79.388793,,"Facility offering healthcare services, counseling, and wellness programs for students."
John W. Graham Library,"3 Devonshire Place, Toronto, ON",43.664217,-79.39892,12,A library providing resources primarily for the University of Toronto's Victoria University.
Knox Presbyterian Church,"630 Spadina Avenue, Toronto, ON",43.664679,-79.401824,,"A historic church on campus, serving as both a religious space and a cultural landmark."
Schwartz Reisman Innovation Centre,"108 College Street, Toronto, ON",43.660489,-79.389841,,"A hub for innovation and entrepreneurship, fostering collaboration and creativity."
St. Volodymyr Institute,"620 Spadina Ave, Toronto, ON",43.664707,-79.401987,,An academic and cultural center supporting Ukrainian studies and activities.
Anthropology Building,"19 Ursula Franklin Street, Toronto, ON",43.662265,-79.397594,79,Houses facilities and offices related to the Department of Anthropology.
Astronomy & Astrophysics Building,"50 St. George Street, Toronto, ON",43.663614,-79.397544,36,"Facilities for the study of astronomy and astrophysics, including research labs."
Back Campus Fields,"20 Tower Road, Toronto, ON",43.662232,-79.394604,94,"Outdoor recreational spaces, commonly used for sports and leisure activities."
Bahen Centre for Information Technology,"40 St.George Street, Toronto, ON",43.660757,-79.398503,80,Hub for computer science and information technology studies and research.
Bancroft Building,"4 Bancroft Avenue, Toronto, ON",43.662825,-79.395393,57,"Houses offices and facilities, potentially related to the study of geography."
Banting Institute,"100 College Street, Toronto, ON",43.659572,-79.387252,16,A research facility dedicated to biomedical science and health research.
371 Bloor Street West,"371 Bloor Street West, Toronto, ON",43.667374,-79.399301,14,Office or academic building located at 371 Bloor Street West.
777 Bay,"777 Bay Street, Toronto, ON",43.667374,-79.399301,,"A building at 777 Bay Street, potentially housing academic or administrative offices."
800 Bay Street,"800 Bay Street, Toronto, ON",43.662256,-79.38512,,"A building at 800 Bay Street, serving various purposes such as offices or classrooms."
Borden Building North,"563 Spadina Cresecent, Toronto, ON",43.664942,-79.39916,61,"A part of the Borden Building complex, potentially housing academic or administrative functions."
Borden Building South,"487 Spadina Cresecent, Toronto, ON",43.663837,-79.399348,61,"Another part of the Borden Building complex, serving various purposes on campus."
C.David Naylor Building,"6 Queen's Park Crescent West, Toronto, ON",43.660912,-79.393576,11,"Houses offices or facilities, potentially related to the Faculty of Medicine."
Canadiana Gallery,"14 Queen's Park Crescent West, Toronto, ON",43.664582,-79.394358,47,"A gallery showcasing Canadian art, culture, and historical artifacts."
Central Steam Plant,"17 Ursula Franklin Street, Toronto, ON",43.659553,-79.393514,18,Infrastructure facility providing steam for heating across the campus.
30 Charles St. West,"30 Charles Street West, Toronto, ON",43.668015,-79.388937,790,"Building located at 30 Charles St. West, potentially serving various purposes."
35 Charles St. West,"35 Charles Street West, Toronto, ON",43.668243,-79.389047,791,"Building located at 35 Charles St. West, potentially serving various purposes."
Chestnut Residence and Conference Centre,"89 Chestnut Street, Toronto, ON",43.654713,-79.385611,158,Accommodations for students and a venue for conferences and events.
Clara Benson Building,"320 Huron Street, Toronto, ON",43.661212,-79.396919,68,Facilities related to chemistry or chemical engineering may be housed here.
Claude T.Bissel Building,"140 St.George Street, Toronto, ON",43.660893,-79.397967,6,"Houses offices or facilities, potentially related to the Faculty of Information."
229 College Street,"229 College Street, Toronto, ON",43.659619,-79.391234,179,"Building located at 229 College Street, potentially serving various purposes."
88 College Street,"88 College Street, Toronto, ON",43.661456,-79.393257,90,"Building located at 88 College Street, potentially serving various purposes."
Communications House,"167 College Street, Toronto, ON",43.660429,-79.393886,92,"Facilities for communication studies, media, or related disciplines."
Convocation Hall,"31 King's College Circle, Toronto, ON",43.661252,-79.394284,10,"Iconic venue for convocation ceremonies, lectures, and cultural events."
Cumberland House,"33 St. George Street, Toronto, ON",43.663055,-79.397301,26,Building providing academic or administrative functions.
D.L Pratt Building,"6 King's College Road, Toronto, ON",43.660862,-79.394613,8,"Houses offices, classrooms, or laboratories, potentially related to engineering."
